1.3563,3.4229,4.3048,3.2680,1.7847,0.0947,2.5585,4.4347,4.4892,2.7023,0.4443,2.4219,4.1910,5.0109,5.1778,5.4543,5.8794,5.8511,5.0614,3.9111,3.0526,2.1991,1.5700,2.0089,1.9549,1.8806,1.7946,0.8565,2.9449,4.8891,5.2294,4.6563
9.7061,7.8345,4.1058,2.4991,3.4841,2.3389,0.3257,3.9377,6.8933,6.0505,3.0697,3.0607,6.8805,6.0662,3.2012,4.7293,1.7205,1.9922,3.6713,2.6086,2.1554,4.5892,2.0862,4.5094,1.9093,1.4158,0.6342,5.7992,9.9482,7.6749,2.0814,0.9071
0.2711,1.8893,2.5155,2.3472,0.5325,1.5675,1.0695,2.4161,3.0586,4.4344,6.9567,5.3482,1.9137,4.2444,4.3193,1.8570,2.3064,4.6025,5.7224,4.2782,5.9742,6.1619,2.3600,4.2510,4.0237,3.5489,4.4117,2.6898,1.3500,0.8913,2.9741,6.4486
6.6583,5.7522,6.1617,7.7353,5.9887,2.8655,2.5888,1.7203,2.7732,4.6801,4.8296,4.9168,6.5981,6.4838,6.5830,4.6631,1.3336,2.7139,5.8184,5.6570,1.1140,2.8578,8.2903,7.7233,7.3065,10.9128,4.5736,3.1588,1.9834,1.2049,0.9887,7.6498
1.9034,3.9837,5.3914,2.7941,3.0324,7.0906,1.9409,4.0759,6.7450,9.5514,4.9874,2.6950,5.9712,7.4352,4.7759,0.6808,2.5813,6.5094,7.4164,4.6062,5.2701,6.1291,4.1753,5.1246,4.4830,9.4630,6.5273,0.9650,3.2602,4.5039,6.6613,9.1940
0.0364,3.9719,5.6046,1.9446,1.8155,1.2413,4.4951,0.7747,4.5580,3.0237,1.9898,7.0385,6.0237,2.0674,3.4253,2.0157,2.5717,1.3887,1.8626,0.3679,0.4343,2.4844,4.1625,6.1012,5.7076,6.3772,8.3385,5.2416,5.1406,7.1142,7.0967,5.0839
6.9003,2.9193,2.3426,3.3745,5.0680,2.8360,3.6393,3.7876,3.4311,0.5611,5.6966,3.3732,5.4602,6.2562,1.8125,2.2311,5.5446,5.8565,4.3445,2.8330,1.6729,4.0745,3.3108,0.7721,4.3874,1.2309,7.0067,9.6501,8.9120,8.0888,6.4872,3.9623
7.2165,8.2567,5.6702,3.4360,4.1826,2.9604,5.1289,4.3080,1.8784,0.4974,7.5527,9.1126,6.4828,1.7772,5.1514,5.0196,2.3037,2.4888,5.3931,7.9037,6.4278,1.4178,1.2081,3.3016,2.5747,5.5971,1.2273,2.9304,3.3953,2.1366,0.4711,0.9075
15.1315,10.3799,5.0430,2.9177,3.3769,2.5701,3.4857,3.2236,4.2793,6.5661,9.2869,5.1875,4.8451,7.9728,6.4346,7.8296,3.4299,3.1049,5.0245,9.8865,5.5545,6.3359,8.3990,4.7897,1.7655,3.7423,4.3302,1.7115,6.0205,6.5161,2.3396,1.1954
9.2757,6.4895,2.4843,3.7581,2.9488,2.4603,2.6121,1.5920,5.3853,5.9165,2.7646,3.8944,4.0021,1.9825,2.8354,4.0890,3.5161,1.3674,3.2267,4.4113,3.2618,4.2244,3.6657,2.9496,5.6423,3.6758,4.0355,6.6247,5.5151,4.1005,4.2379,9.2256
0.1922,0.7382,3.5458,4.8268,6.3461,9.2265,7.1905,6.4165,6.6057,4.2235,5.3997,3.8082,1.3895,3.0913,4.8345,7.2935,7.2846,5.0531,3.8580,4.1895,2.5741,4.9885,3.1874,2.0854,4.1003,3.1631,3.8989,3.4910,5.1439,5.2687,3.7891,4.1956
